id,name,description,image,price
1,Single Door Refrigerator,Perfect for small families and apartments,/products/fridge1.jpg,19999
2,Double Door Refrigerator,Ideal for medium-sized families,/products/fridge2.jpg,29999
3,French Door Refrigerator,Luxury refrigeration solution,/products/fridge3.jpg,49999
4,Visi Cooler,Commercial beverage cooler for display,/products/visi-cooler.jpg,25000
5,Deep Freezer,Large capacity deep freezer for storage,/products/deep-freezer.jpg,35000
6,Water Dispenser,Hot and cold water dispenser,/products/water-dispenser.jpg,12000
7,Water Cooler,Stainless steel water cooler for offices,/products/water-cooler.jpg,18000
8,Pastry Counter,Display counter for pastries and desserts,/products/pastry-counter.jpg,40000 
